service_id,date,exception_type
"ASTH1","20241224","2"
"ASTH1","20241231","2"
"ASTH2","20241224","2"
"ASTH2","20241231","2"
"T0","20240101","2"
"T0","20240329","2"
"T0","20240401","2"
"T0","20240501","2"
"T0","20240509","2"
"T0","20240520","2"
"T0","20240530","2"
"T0","20241003","2"
"T0","20241101","2"
"T0","20241224","2"
"T0","20241225","2"
"T0","20241226","2"
"T0","20241231","2"
"T0+50","20240329","2"
"T0+50","20241101","2"
"T1","20240101","2"
"T1","20240329","2"
"T1","20240401","2"
"T1","20240501","2"
"T1","20240509","2"
"T1","20240520","2"
"T1","20240530","2"
"T1","20241003","2"
"T1","20241101","2"
"T1","20241225","2"
"T1","20241226","2"
"T1+56","20240329","2"
"T1+56","20241101","2"
"T1+wz","20240101","2"
"T1+wz","20240329","2"
"T1+wz","20240401","2"
"T1+wz","20240501","2"
"T1+wz","20240509","2"
"T1+wz","20240520","2"
"T1+wz","20240530","2"
"T1+wz","20241003","2"
"T1+wz","20241101","2"
"T1+wz","20241224","2"
"T1+wz","20241225","2"
"T1+wz","20241226","2"
"T1+wz","20241231","2"
"T2","20241224","1"
"T2","20241231","1"
"T3","20240101","1"
"T3","20240329","1"
"T3","20240401","1"
"T3","20240501","1"
"T3","20240509","1"
"T3","20240520","1"
"T3","20240530","1"
"T3","20241003","1"
"T3","20241101","1"
"T3","20241225","1"
"T3","20241226","1"
"T3+50","20240105","2"
"T3+50","20240112","2"
"T3+50","20240119","2"
"T3+50","20240126","2"
"T3+50","20240202","2"
"T3+50","20240209","2"
"T3+50","20240216","2"
"T3+50","20240223","2"
"T3+50","20240301","2"
"T3+50","20240308","2"
"T3+50","20240315","2"
"T3+50","20240322","2"
"T3+50","20240405","2"
"T3+50","20240412","2"
"T3+50","20240419","2"
"T3+50","20240426","2"
"T3+50","20240503","2"
"T3+50","20240510","2"
"T3+50","20240517","2"
"T3+50","20240524","2"
"T3+50","20240531","2"
"T3+50","20240607","2"
"T3+50","20240614","2"
"T3+50","20240621","2"
"T3+50","20240628","2"
"T3+50","20240705","2"
"T3+50","20240712","2"
"T3+50","20240719","2"
"T3+50","20240726","2"
"T3+50","20240802","2"
"T3+50","20240809","2"
"T3+50","20240816","2"
"T3+50","20240823","2"
"T3+50","20240830","2"
"T3+50","20240906","2"
"T3+50","20240913","2"
"T3+50","20240920","2"
"T3+50","20240927","2"
"T3+50","20241004","2"
"T3+50","20241011","2"
"T3+50","20241018","2"
"T3+50","20241025","2"
"T3+50","20241108","2"
"T3+50","20241115","2"
"T3+50","20241122","2"
"T3+50","20241129","2"
"T3+50","20241206","2"
"T3+50","20241213","2"
"T3+50","20241220","2"
"T3+50","20241227","2"
"TA+wz","20241224","2"
"TA+wz","20241231","2"
